origin_census_block_group,bucketed_distance_traveled,median_dwell_at_bucketed_distance_traveled,bucketed_home_dwell_time,destination_cbgs,bucketed_away_from_home_time,bucketed_percentage_time_home
360811507023,"{""""16001-50000"""":6,""""0"""":11,"""">50000"""":3,""""2001-8000"""":5,""""1-1000"""":5,""""1001-2000"""":1,""""8001-16000"""":1}","{""""16001-50000"""":58,"""">50000"""":92,""""<1000"""":94,""""2001-8000"""":47,""""1001-2000"""":125,""""8001-16000"""":224}","{""""721-1080"""":6,""""361-720"""":1,""""61-360"""":1,""""<60"""":5,"""">1080"""":19}","{""""360811193002"""":1,""""360610052002"""":1,""""360811507021"""":1,""""360810849004"""":1,""""360610125001"""":1,""""360594093004"""":1,""""360790105002"""":1,""""360811171001"""":2,""""360594151011"""":1,""""360811175001"""":1,""""360594090002"""":1,""""360610014011"""":1,""""360811479001"""":1,""""360811403001"""":1,""""360811529022"""":1,""""360595189002"""":1,""""360811291022"""":1,""""360594090003"""":1,""""360811507023"""":32,""""360610022021"""":1,""""360594073011"""":2,""""360610096001"""":1,""""360811529023"""":1,""""361019625001"""":1,""""360810865001"""":1,""""361032010041"""":1,""""090010102022"""":1,""""361019623006"""":1,""""360811507024"""":1,""""361031231022"""":1,""""360593008004"""":2,""""360811507011"""":1,""""360470353001"""":1}","{""""21-45"""":1,""""481-540"""":2,""""541-600"""":1,""""46-60"""":1,""""<20"""":15,""""61-120"""":7,""""241-300"""":1,""""421-480"""":2,""""1321-1440"""":1,""""841-960"""":1,""""1081-1200"""":1,""""961-1080"""":1,""""181-240"""":2}","{""""26-50"""":1,""""51-75"""":4,""""0-25"""":9,"""">100"""":1,""""76-100"""":22}"
360470591004,"{""""16001-50000"""":13,""""0"""":64,"""">50000"""":28,""""2001-8000"""":62,""""1-1000"""":5,""""1001-2000"""":8,""""8001-16000"""":88}","{""""16001-50000"""":71,"""">50000"""":61,""""<1000"""":15,""""2001-8000"""":111,""""1001-2000"""":96,""""8001-16000"""":57}","{""""721-1080"""":10,""""361-720"""":13,""""61-360"""":25,""""<60"""":201,"""">1080"""":14}","{""""360470379002"""":2,""""150030075041"""":1,""""240276012014"""":1,""""360470591004"""":91,""""360470292001"""":1,""""340170145021"""":7,""""360470994001"""":4,""""440050417011"""":1,""""360050216022"""":1,""""360610247005"""":2,""""340130175004"""":1,""""360811417005"""":1,""""360593042034"""":1,""""420770063031"""":1,""""360810019001"""":1,""""360610230004"""":1,""""518000754021"""":1,""""360070133015"""":1,""""440050414002"""":1,""""360470571002"""":1,""""518000655001"""":1,""""440050407003"""":1,""""340297390001"""":1,""""360610021002"""":1,""""360050199001"""":2,""""120111103131"""":1,""""361190024043"""":1,""""360610031001"""":1,""""421019805001"""":3,""""360850273012"""":1,""""360470449004"""":1,""""360470589002"""":2,""""360050334001"""":1,""""360610311000"""":4,""""420792146001"""":1,""""360470553003"""":1,""""360470962001"""":1,""""360470852001"""":4,""""360610230002"""":1,""""340170130001"""":1,""""360470772002"""":1,""""360610212002"""":1,""""360710103002"""":1,""""360470254003"""":1,""""360470385002"""":2,""""360810018001"""":1,""""150030078112"""":1,""""360470352001"""":1,""""060710006051"""":1,""""360050145004"""":32,""""360810260002"""":1,""""360470085002"""":1,""""360470011001"""":2,""""110010077031"""":1,""""371350112033"""":1,""""360610054003"""":1,""""481130164102"""":1,""""421010215003"""":1,""""361031121021"""":1,""""360610230001"""":1,""""360470854001"""":2,""""201550018002"""":5,""""360470315002"""":2,""""360810683001"""":1,""""360610183001"""":1,""""360810047001"""":1,""""360594105001"""":1,""""360850064003"""":1,""""360850134003"""":2,""""360810291002"""":1,""""517402124002"""":1,""""340130232002"""":3,""""361031240012"""":1,""""250250911003"""":1,""""360050039005"""":23,""""360050068002"""":2,""""440050411002"""":1,""""340270409002"""":1,""""340130091001"""":2,""""360470503002"""":7,""""360810001001"""":2,""""360470401001"""":1,""""360471196001"""":1,""""120990059382"""":1,""""360470507001"""":2,""""360610047002"""":1,""""090091805002"""":1,""""360610165001"""":1,""""360470499001"""":1,""""360470734001"""":1,""""360050068003"""":1,""""360050363003"""":1,""""360470177001"""":2,""""360050117002"""":2,""""360050183013"""":1,""""360810281004"""":1,""""360470248001"""":1,""""340170104003"""":3,""""360594166002"""":1,""""110010062021"""":1,""""360810779061"""":1,""""360470566002"""":1,""""361031465001"""":1,""""360470553001"""":1,""""371350107011"""":1,""""340270411001"""":1,""""360470449003"""":2,""""360610198001"""":1,""""360470353001"""":53,""""517402128013"""":1,""""361119539002"""":1,""""360290057002"""":1,""""360470591003"""":1,""""360470890002"""":1,""""360050381006"""":1,""""421010282003"""":1,""""360470792003"""":3,""""360470571003"""":1,""""110010021014"""":1,""""360470191003"""":1,""""360470561003"""":1,""""360050263005"""":1,""""360850156031"""":1}","{""""21-45"""":21,""""481-540"""":2,""""541-600"""":8,""""46-60"""":9,""""721-840"""":5,""""1201-1320"""":4,""""301-360"""":4,""""<20"""":106,""""61-120"""":32,""""241-300"""":10,""""121-180"""":12,""""421-480"""":5,""""1321-1440"""":4,""""841-960"""":9,""""1081-1200"""":1,""""961-1080"""":9,""""601-660"""":4,""""181-240"""":8,""""661-720"""":4,""""361-420"""":6}","{""""0-25"""":184,""""76-100"""":76,""""51-75"""":10,""""26-50"""":1}"
360810061003,"{""""16001-50000"""":2,""""0"""":46,"""">50000"""":4,""""2001-8000"""":12,""""1-1000"""":15,""""1001-2000"""":7,""""8001-16000"""":3}","{""""16001-50000"""":8,"""">50000"""":157,""""<1000"""":30,""""2001-8000"""":52,""""1001-2000"""":48,""""8001-16000"""":185}","{""""721-1080"""":23,""""361-720"""":11,""""61-360"""":14,""""<60"""":15,"""">1080"""":28}","{""""360470557002"""":1,""""360610052001"""":1,""""360810155001"""":1,""""360610121004"""":1,""""360610247005"""":1,""""360810063001"""":1,""""340030473002"""":1,""""360810065021"""":1,""""360050237043"""":1,""""360810057001"""":1,""""360810716001"""":2,""""340350509032"""":1,""""360810031002"""":1,""""360810125001"""":1,""""360810033001"""":1,""""360810143002"""":1,""""360610040001"""":1,""""170438460023"""":2,""""170318025041"""":2,""""350619714001"""":1,""""360810739004"""":1,""""360810051001"""":1,""""360810097004"""":1,""""350619704042"""":1,""""360594053011"""":1,""""360810033004"""":1,""""360810063002"""":2,""""360810729002"""":1,""""360810043001"""":1,""""360810107011"""":1,""""360810163002"""":1,""""360610222002"""":1,""""360810151001"""":1,""""360810208002"""":1,""""350619714002"""":1,""""360810329001"""":1,""""360810295002"""":1,""""360810061002"""":6,""""360810240001"""":1,""""360810059001"""":1,""""360810147002"""":1,""""360610182003"""":1,""""360610061002"""":1,""""360470822002"""":1,""""360810871001"""":1,""""360810257001"""":1,""""360810063003"""":1,""""340030473003"""":1,""""360810065023"""":1,""""360810059003"""":1,""""360810263003"""":1,""""360610015021"""":1,""""360810149002"""":1,""""360810679003"""":1,""""360810061003"""":76,""""360810001001"""":2,""""360470549002"""":1,""""360810155002"""":3,""""360610119002"""":1,""""360810073002"""":1,""""360810267003"""":1,""""360810171001"""":1,""""360811347004"""":1,""""360810629003"""":1,""""360810061001"""":1,""""360810194002"""":1,""""360810269013"""":1,""""361019614002"""":1,""""360810111002"""":1,""""360810065011"""":1,""""360810045001"""":1,""""360810285004"""":1,""""360610153002"""":1,""""360810061004"""":8}","{""""21-45"""":2,""""481-540"""":1,""""46-60"""":3,""""1201-1320"""":1,""""301-360"""":2,""""<20"""":52,""""61-120"""":3,""""241-300"""":3,""""121-180"""":4,""""421-480"""":1,""""841-960"""":1,""""1081-1200"""":3,""""601-660"""":2,""""181-240"""":6,""""661-720"""":1}","{""""26-50"""":3,""""51-75"""":9,""""0-25"""":11,"""">100"""":3,""""76-100"""":61}"
360050050014,"{""""16001-50000"""":2,""""0"""":18,"""">50000"""":1,""""2001-8000"""":2,""""1-1000"""":4,""""1001-2000"""":6}","{""""16001-50000"""":64,"""">50000"""":1063,""""<1000"""":69,""""2001-8000"""":12,""""1001-2000"""":212}","{""""721-1080"""":2,""""361-720"""":4,""""61-360"""":4,""""<60"""":4,"""">1080"""":9}","{""""360050050022"""":1,""""360610095001"""":1,""""360050052001"""":1,""""360050070002"""":1,""""421010001002"""":1,""""360050050014"""":24,""""360050145004"""":1,""""360050070003"""":1,""""360050216025"""":1,""""360050083001"""":1,""""360050121021"""":1,""""360050050024"""":1,""""421010055003"""":1,""""360610100001"""":1,""""340170104003"""":1,""""360470353001"""":1}","{""""46-60"""":1,""""<20"""":23,""""61-120"""":1,""""121-180"""":1,""""1081-1200"""":1,""""181-240"""":1,""""361-420"""":1}","{""""0-25"""":3,""""76-100"""":23,""""51-75"""":7}"
360810260002,"{""""16001-50000"""":7,""""0"""":37,"""">50000"""":1,""""2001-8000"""":15,""""1-1000"""":13,""""1001-2000"""":10,""""8001-16000"""":11}","{""""16001-50000"""":16,"""">50000"""":347,""""<1000"""":283,""""2001-8000"""":80,""""1001-2000"""":59,""""8001-16000"""":102}","{""""721-1080"""":17,""""361-720"""":11,""""61-360"""":12,""""<60"""":16,"""">1080"""":38}","{""""360810208001"""":1,""""360810432001"""":1,""""360470053004"""":1,""""360810460002"""":1,""""090091656002"""":1,""""360470516021"""":2,""""360810945002"""":1,""""360810291004"""":1,""""360810152001"""":1,""""360470950001"""":1,""""360810008002"""":1,""""360470137003"""":1,""""360610161003"""":1,""""360810077001"""":1,""""360471178001"""":1,""""360810717021"""":1,""""360810716001"""":4,""""340390398004"""":1,""""360810526002"""":1,""""360810443022"""":1,""""360610167005"""":1,""""340057001042"""":1,""""360610101001"""":2,""""360810136001"""":1,""""360810240002"""":1,""""360810170001"""":1,""""360810638005"""":1,""""360810212001"""":3,""""360594061002"""":1,""""360610098002"""":1,""""360810460003"""":1,""""360470385002"""":1,""""360810703002"""":1,""""360811227023"""":1,""""240178513023"""":1,""""360810260002"""":87,""""360610161005"""":1,""""360810864001"""":1,""""360050243003"""":1,""""360810158022"""":1,""""360810208002"""":1,""""360610113001"""":1,""""360594073011"""":1,""""360810683001"""":2,""""360810206001"""":1,""""360810788002"""":1,""""360810444002"""":1,""""360594106003"""":1,""""090012108003"""":1,""""360470085001"""":1,""""360810320003"""":1,""""360610115001"""":1,""""360810142021"""":2,""""360471174002"""":1,""""360810254006"""":3,""""361031226021"""":1,""""360810262001"""":1,""""090010351001"""":1,""""360810190001"""":2,""""360810366001"""":1,""""360610207011"""":1,""""360594165003"""":1,""""360810276001"""":1,""""360810054001"""":1,""""360610167003"""":1,""""360810683002"""":2,""""360610082001"""":1,""""360810196001"""":6,""""360810434001"""":1,""""360610018002"""":1,""""360470053001"""":1,""""360610241005"""":1,""""360810357001"""":1,""""360810376004"""":1,""""360470343001"""":1,""""360610241001"""":1,""""360470353001"""":2,""""360610012002"""":1,""""360810157001"""":1,""""360811267003"""":1,""""340057001041"""":1,""""360810838001"""":2,""""360810254005"""":1,""""360810142022"""":1,""""360050373002"""":1,""""360594109001"""":1,""""090091656003"""":1}","{""""21-45"""":7,""""481-540"""":1,""""541-600"""":1,""""46-60"""":5,""""721-840"""":2,""""<20"""":40,""""61-120"""":4,""""241-300"""":6,""""121-180"""":9,""""421-480"""":1,""""1321-1440"""":1,""""1081-1200"""":3,""""961-1080"""":1,""""601-660"""":3,""""181-240"""":6,""""661-720"""":3,""""361-420"""":1}","{""""26-50"""":2,""""51-75"""":6,""""0-25"""":11,"""">100"""":1,""""76-100"""":67}"
360470828002,"{""""16001-50000"""":2,""""0"""":27,"""">50000"""":5,""""2001-8000"""":11,""""1-1000"""":5,""""1001-2000"""":5,""""8001-16000"""":4}","{""""16001-50000"""":197,"""">50000"""":205,""""<1000"""":36,""""2001-8000"""":108,""""1001-2000"""":187,""""8001-16000"""":101}","{""""721-1080"""":8,""""361-720"""":6,""""61-360"""":8,""""<60"""":14,"""">1080"""":23}","{""""245102101001"""":1,""""240276012014"""":1,""""360470510012"""":1,""""360470830004"""":1,""""360470544002"""":1,""""360470770001"""":1,""""360470137003"""":1,""""340297171021"""":1,""""240217402002"""":1,""""360594098002"""":2,""""360593038002"""":1,""""360470798011"""":1,""""360810352002"""":1,""""360470161002"""":1,""""360810476001"""":1,""""360470884003"""":1,""""360470846002"""":1,""""360610049003"""":1,""""360470828001"""":2,""""240217735002"""":1,""""360470968002"""":1,""""360470616001"""":1,""""360470786003"""":1,""""360470808001"""":1,""""360479901000"""":1,""""360470674002"""":1,""""360610078006"""":1,""""240037303001"""":1,""""360470790001"""":1,""""360610145001"""":1,""""240037061011"""":1,""""360470828002"""":49,""""360810614001"""":1,""""360610139001"""":1,""""360470119003"""":1,""""240037509001"""":1,""""360470514004"""":1,""""360610070005"""":1,""""360470788002"""":1,""""360471104001"""":1,""""240217508023"""":1,""""360470129021"""":1,""""360470774002"""":3,""""360470720001"""":1,""""360610040005"""":1,""""360471070001"""":1,""""360470355002"""":1,""""360470776003"""":1,""""360470348001"""":1,""""360470964001"""":1,""""360470349001"""":1,""""240037061012"""":1,""""360610070004"""":1,""""360470353001"""":2,""""360610054001"""":1,""""360470740002"""":1,""""360594059005"""":1,""""360470796022"""":1,""""420250201053"""":1,""""360470510023"""":1,""""360470828003"""":1,""""360610043002"""":1}","{""""21-45"""":4,""""481-540"""":1,""""46-60"""":3,""""721-840"""":1,""""301-360"""":1,""""<20"""":31,""""61-120"""":6,""""241-300"""":1,""""121-180"""":5,""""1321-1440"""":3,""""841-960"""":2,""""1081-1200"""":1,""""961-1080"""":1,""""181-240"""":5,""""361-420"""":4}","{""""26-50"""":2,""""51-75"""":3,""""0-25"""":11,"""">100"""":1,""""76-100"""":41}"
360810757022,"{""""16001-50000"""":1,""""0"""":24,"""">50000"""":1,""""2001-8000"""":15,""""1-1000"""":9,""""1001-2000"""":4,""""8001-16000"""":6}","{""""16001-50000"""":94,"""">50000"""":214,""""<1000"""":67,""""2001-8000"""":43,""""1001-2000"""":26,""""8001-16000"""":61}","{""""721-1080"""":6,""""361-720"""":7,""""61-360"""":6,""""<60"""":13,"""">1080"""":34}","{""""360593027002"""":2,""""360810711002"""":2,""""360610131001"""":1,""""360470482003"""":1,""""360810379001"""":1,""""360810289003"""":1,""""360810716001"""":1,""""360810637001"""":2,""""360470021001"""":1,""""360810158012"""":1,""""360810743002"""":1,""""340030452002"""":1,""""360810481004"""":1,""""360810769012"""":1,""""360810809004"""":2,""""360810695001"""":2,""""360810280001"""":1,""""360810739002"""":1,""""360810220023"""":1,""""360810739004"""":1,""""360810779022"""":2,""""360470553003"""":1,""""360810757011"""":3,""""360470234001"""":1,""""360810383021"""":3,""""360810737001"""":1,""""360810485003"""":1,""""360810279004"""":1,""""360810757022"""":51,""""360470352001"""":1,""""360470418001"""":1,""""360811267001"""":1,""""361031591023"""":1,""""360470442001"""":1,""""360810981002"""":1,""""360610096001"""":1,""""360470234002"""":1,""""360810645001"""":1,""""360810711004"""":2,""""360811093001"""":1,""""360610155003"""":1,""""360810269012"""":1,""""360810757023"""":3,""""361059521001"""":1,""""360810779071"""":2,""""360610143001"""":1,""""360610115001"""":1,""""360810717014"""":3,""""360810743004"""":2,""""360811417003"""":1,""""360810869001"""":1,""""340030120013"""":1,""""360593001001"""":1,""""360470582003"""":2,""""360811265001"""":1,""""360610131002"""":1,""""360470013001"""":1,""""360610149001"""":1,""""360810757021"""":1,""""360811341002"""":1,""""360810743001"""":2,""""360810645002"""":3,""""340258095023"""":1,""""360810283003"""":1,""""360810779043"""":1}","{""""21-45"""":3,""""541-600"""":1,""""46-60"""":3,""""1201-1320"""":2,""""301-360"""":4,""""<20"""":28,""""61-120"""":7,""""241-300"""":3,""""121-180"""":2,""""961-1080"""":4,""""601-660"""":1,""""181-240"""":1,""""661-720"""":1,""""361-420"""":4}","{""""26-50"""":2,""""51-75"""":4,""""0-25"""":11,"""">100"""":3,""""76-100"""":45}"
360610112011,"{""""16001-50000"""":2,""""0"""":16,"""">50000"""":12,""""2001-8000"""":9,""""1-1000"""":14,""""1001-2000"""":10,""""8001-16000"""":6}","{""""16001-50000"""":364,"""">50000"""":386,""""<1000"""":67,""""2001-8000"""":41,""""1001-2000"""":15,""""8001-16000"""":89}","{""""721-1080"""":12,""""361-720"""":7,""""61-360"""":10,""""<60"""":27,"""">1080"""":12}","{""""360810208001"""":1,""""360610089003"""":1,""""360610071005"""":1,""""360610139003"""":1,""""360610179005"""":1,""""360610229002"""":1,""""360610102001"""":1,""""120990074072"""":1,""""360610121004"""":1,""""330099608001"""":1,""""360610171001"""":1,""""360610030021"""":1,""""360610056001"""":1,""""360610125001"""":1,""""360470137003"""":1,""""360470519001"""":1,""""360810716001"""":2,""""360610137001"""":1,""""220510202012"""":1,""""360610137002"""":5,""""360610055022"""":1,""""360610101001"""":5,""""360610153001"""":1,""""360610033003"""":1,""""360610119001"""":4,""""371190030071"""":1,""""110010058001"""":1,""""361031907065"""":1,""""360610031001"""":1,""""220510226001"""":1,""""360610129001"""":1,""""360610036013"""":1,""""360610094001"""":2,""""360610231003"""":1,""""360470553003"""":1,""""360610084001"""":1,""""240317057023"""":1,""""360610043003"""":1,""""361190023001"""":1,""""360610108007"""":1,""""120110106014"""":2,""""060372149012"""":1,""""360810383021"""":1,""""360610137006"""":1,""""220710139002"""":1,""""360610125002"""":2,""""360810581001"""":1,""""360610219001"""":1,""""360810018001"""":1,""""360610137003"""":1,""""330019661004"""":1,""""360810627002"""":1,""""360610015013"""":1,""""360610033002"""":1,""""201550018002"""":1,""""360610113001"""":2,""""360610099000"""":1,""""360610021001"""":2,""""360610112011"""":46,""""240178507132"""":1,""""340030193042"""":1,""""360610096001"""":1,""""360595198011"""":1,""""360610151001"""":1,""""220510222003"""":1,""""120990071001"""":1,""""360470553002"""":1,""""060590320233"""":1,""""360610183004"""":1,""""360610072004"""":1,""""360610114012"""":2,""""360610089005"""":1,""""340210021005"""":1,""""360610143001"""":4,""""100030028001"""":1,""""360610018001"""":1,""""360610233002"""":1,""""360610061001"""":1,""""360470519003"""":1,""""360610145004"""":2,""""360610056002"""":1,""""360610135001"""":2,""""360610127005"""":1,""""360610119002"""":3,""""360610112021"""":1,""""360610317041"""":1,""""360610179001"""":1,""""360471026001"""":1,""""360610137004"""":4,""""360610076002"""":1,""""360470523002"""":1,""""360610099001"""":2,""""371830517001"""":1,""""360810331001"""":4,""""360610157001"""":1,""""360610045001"""":1,""""360610139006"""":1,""""360610013001"""":2,""""360470317013"""":1,""""360610131002"""":2,""""360610109001"""":2,""""371199801001"""":1,""""360810033002"""":1,""""360610114011"""":1,""""360610049001"""":3,""""360610137005"""":3,""""360610201011"""":1,""""120110802001"""":2,""""360050019001"""":1,""""360810085001"""":1,""""360610047001"""":1,""""360610043002"""":1,""""360610104001"""":7}","{""""21-45"""":1,""""481-540"""":1,""""46-60"""":2,""""721-840"""":1,""""1201-1320"""":3,""""301-360"""":1,""""<20"""":22,""""61-120"""":1,""""241-300"""":1,""""121-180"""":6,""""1321-1440"""":6,""""841-960"""":1,""""1081-1200"""":1,""""961-1080"""":2,""""601-660"""":1,""""181-240"""":5,""""661-720"""":1,""""361-420"""":4}","{""""0-25"""":28,""""76-100"""":29,""""51-75"""":6,""""26-50"""":2}"
360850132032,"{""""16001-50000"""":17,""""0"""":47,"""">50000"""":2,""""2001-8000"""":30,""""1-1000"""":16,""""1001-2000"""":12,""""8001-16000"""":15}","{""""16001-50000"""":130,"""">50000"""":224,""""<1000"""":61,""""2001-8000"""":66,""""1001-2000"""":112,""""8001-16000"""":64}","{""""721-1080"""":32,""""361-720"""":17,""""61-360"""":12,""""<60"""":10,"""">1080"""":66}","{""""360850138003"""":2,""""340258105024"""":3,""""360610255004"""":1,""""340230073042"""":2,""""360850208031"""":2,""""360850156033"""":2,""""360850156011"""":3,""""360850277022"""":1,""""360470104003"""":1,""""360470636001"""":1,""""360850291022"""":1,""""371790210083"""":1,""""360850244022"""":2,""""360850138002"""":4,""""340230017014"""":1,""""360850132042"""":4,""""340230030021"""":1,""""360610111001"""":1,""""360610255001"""":1,""""360610031001"""":1,""""360850132031"""":1,""""360850273012"""":1,""""360850146072"""":1,""""340230077022"""":1,""""360470558002"""":1,""""360470038001"""":1,""""340258125011"""":4,""""360850112021"""":4,""""360850132032"""":137,""""360470160001"""":1,""""360610134006"""":1,""""360610076001"""":1,""""360850156032"""":1,""""340230089002"""":2,""""360470406001"""":1,""""360850070002"""":5,""""360850146062"""":3,""""360850146042"""":3,""""360470194001"""":1,""""360470080001"""":3,""""360470498001"""":1,""""360850208014"""":6,""""360610021001"""":1,""""360850067002"""":1,""""340258104021"""":3,""""360850128063"""":1,""""360850134003"""":2,""""360470606001"""":1,""""360850239002"""":1,""""360850132033"""":5,""""360850114022"""":1,""""360470354003"""":1,""""360810998023"""":1,""""360850154000"""":1,""""360470120001"""":1,""""360850244012"""":1,""""360850134002"""":2,""""360470118001"""":1,""""360850128041"""":1,""""360850156013"""":5,""""360850125003"""":1,""""360850156016"""":1,""""360850226004"""":2,""""360850176002"""":1,""""110010038001"""":1,""""360850047001"""":1,""""360850040001"""":1,""""360850251002"""":1,""""360850146052"""":2,""""360850170112"""":2,""""360850146041"""":2,""""360850121003"""":1,""""360610066002"""":1,""""360610009001"""":1,""""340230027012"""":1,""""360850291021"""":2,""""360850146063"""":1,""""360850122001"""":3,""""360850008002"""":1,""""360850122002"""":1,""""360850170123"""":3,""""360470152001"""":1,""""360850156012"""":1,""""360850146044"""":6,""""360470353001"""":1,""""360810399002"""":2,""""360470106001"""":1,""""360850146082"""":6,""""360850132011"""":1,""""360850134001"""":1,""""360850128051"""":1,""""360850146071"""":2}","{""""21-45"""":8,""""541-600"""":5,""""46-60"""":3,""""721-840"""":3,""""301-360"""":3,""""<20"""":55,""""61-120"""":14,""""241-300"""":13,""""121-180"""":11,""""421-480"""":4,""""1321-1440"""":1,""""841-960"""":1,""""1081-1200"""":4,""""601-660"""":1,""""181-240"""":11,""""661-720"""":1,""""361-420"""":1}","{""""26-50"""":6,""""51-75"""":10,""""0-25"""":13,"""">100"""":5,""""76-100"""":108}"
360470246003,"{""""16001-50000"""":2,""""0"""":8,""""2001-8000"""":10,""""1-1000"""":8,""""1001-2000"""":3}","{""""1001-2000"""":257,""""16001-50000"""":26,""""2001-8000"""":46,""""<1000"""":42}","{""""721-1080"""":2,""""361-720"""":1,""""61-360"""":6,""""<60"""":5,"""">1080"""":22}","{""""360470298002"""":1,""""360470422003"""":1,""""360470244003"""":1,""""360470110001"""":1,""""361190026002"""":1,""""360470260002"""":1,""""360810871002"""":2,""""360470153003"""":1,""""360810907001"""":3,""""360470254003"""":1,""""360470472003"""":1,""""360470531004"""":1,""""360470246001"""":2,""""360470252004"""":3,""""360810871001"""":3,""""360470464001"""":1,""""360470246003"""":34,""""360050161001"""":1,""""360470814002"""":1,""""360470454001"""":1,""""360470268004"""":2,""""360470698002"""":2,""""360470598001"""":1,""""360470256001"""":1,""""360470254002"""":2,""""360470088002"""":3,""""360470432001"""":1,""""360470260001"""":3,""""360050358007"""":1}","{""""21-45"""":5,""""46-60"""":3,""""721-840"""":1,""""<20"""":10,""""61-120"""":8,""""241-300"""":1,""""121-180"""":12,""""961-1080"""":1,""""361-420"""":4}","{""""26-50"""":1,""""51-75"""":3,""""0-25"""":12,"""">100"""":1,""""76-100"""":24}"
